"Year","Australia","Austria","Brazil","Germany","Russia","USA"
"1999","6.87%","4.70%","10.21%","8.86%","13.04%","4.22%"
"2000","6.29%","4.69%","9.90%","7.92%","10.58%","3.99%"
"2001","6.78%","4.01%","9.61%","7.77%","8.98%","4.73%"
"2002","6.36%","4.85%","9.37%","8.48%","7.88%","5.78%"
"2003","5.94%","4.78%","9.99%","9.78%","8.21%","5.99%"
"2004","5.38%","5.83%","9.11%","10.73%","7.76%","5.53%"
"2005","5.04%","5.63%","9.57%","11.70%","7.12%","5.08%"
"2006","4.79%","5.24%","8.64%","10.80%","7.06%","4.62%"
"2007","4.38%","4.86%","8.33%","9.00%","6.00%","4.62%"
"2008","4.50%","4.13%","7.34%","7.80%","6.21%","5.78%"
"2009","5.58%","5.30%","8.52%","8.10%","8.30%","9.25%"
"2010","5.21%","4.82%","7.74%","7.70%","7.37%","9.63%"
"2011","5.08%","4.56%","6.92%","7.10%","6.54%","8.95%"
"2012","5.22%","4.87%","7.19%","6.80%","5.44%","8.07%"
"2013","5.66%","5.33%","6.98%","6.90%","5.46%","7.38%"
"2014","6.07%","5.62%","6.66%","6.70%","5.16%","6.17%"
"2015","6.04%","5.72%","8.43%","6.40%","5.57%","5.28%"
"2016","5.72%","6.01%","11.60%","6.10%","5.56%","4.87%"
"2017","5.58%","5.50%","12.82%","5.70%","5.21%","4.36%"
"2018","5.29%","4.85%","12.33%","5.20%","4.85%","3.90%"
"2019","4.79%","4.80%","11.93%","5.00%","4.60%","3.67%"
"2020","4.06%","5.77%","13.67%","5.90%","5.73%","8.31%"
"2021","4.20%","6.00%","14.70%","5.70%","4.30%","6.00%"
